# BibMan synonym pairs — atomic ionization states
# Source: programmatically generated in bibman_server.py
# Format: "Symbol Roman" <TAB> alias (English name, bracket notation, charge notation)
# e.g. "O III<TAB>doubly ionized oxygen"  "Fe II<TAB>[Fe II]"
# Format: two tab-separated columns, one pair per line.
# term_a	term_b
# Lines starting with # are comments and are ignored.
#
Mg V	Mg4plus
Mg VI	quintuply ionized Mg
Mg VI	quintuply ionized magnesium
Mg VI	magnesium VI
Mg VI	[Mg VI]
Mg VI	Mg5+
Mg VI	Mg5plus
Mg VII	sextuply ionized Mg
Mg VII	sextuply ionized magnesium
Mg VII	magnesium VII
Mg VII	[Mg VII]
Mg VII	Mg6+
Mg VII	Mg6plus
Mg VIII	septuply ionized Mg
Mg VIII	septuply ionized magnesium
Mg VIII	magnesium VIII
Mg VIII	[Mg VIII]
Mg VIII	Mg7+
Mg VIII	Mg7plus
Mg IX	octuply ionized Mg
Mg IX	octuply ionized magnesium
Mg IX	magnesium IX
Mg IX	[Mg IX]
Mg IX	Mg8+
Mg IX	Mg8plus
Mg X	nonuply ionized Mg
Mg X	nonuply ionized magnesium
Mg X	magnesium X
Mg X	[Mg X]
Mg X	Mg9+
Mg X	Mg9plus
Al I	neutral Al
Al I	neutral aluminum
Al I	aluminum I
Al I	[Al I]
Al II	singly ionized Al
Al II	singly ionized aluminum
Al II	aluminum II
Al II	[Al II]
Al II	Al+
Al II	Al1+
Al III	doubly ionized Al
Al III	doubly ionized aluminum
Al III	aluminum III
Al III	[Al III]
Al III	Al2+
Al III	Al2plus
Al IV	triply ionized Al
Al IV	triply ionized aluminum
Al IV	aluminum IV
Al IV	[Al IV]
Al IV	Al3+
Al IV	Al3plus
Al V	quadruply ionized Al
Al V	quadruply ionized aluminum
Al V	aluminum V
Al V	[Al V]
Al V	Al4+
Al V	Al4plus
Al VI	quintuply ionized Al
Al VI	quintuply ionized aluminum
Al VI	aluminum VI
Al VI	[Al VI]
Al VI	Al5+
Al VI	Al5plus
Al VII	sextuply ionized Al
Al VII	sextuply ionized aluminum
Al VII	aluminum VII
Al VII	[Al VII]
Al VII	Al6+
Al VII	Al6plus
Al VIII	septuply ionized Al
Al VIII	septuply ionized aluminum
Al VIII	aluminum VIII
Al VIII	[Al VIII]
Al VIII	Al7+
Al VIII	Al7plus
Al IX	octuply ionized Al
Al IX	octuply ionized aluminum
Al IX	aluminum IX
Al IX	[Al IX]
Al IX	Al8+
Al IX	Al8plus
Al X	nonuply ionized Al
Al X	nonuply ionized aluminum
Al X	aluminum X
Al X	[Al X]
Al X	Al9+
Al X	Al9plus
Si I	neutral Si
Si I	neutral silicon
Si I	silicon I
Si I	[Si I]
Si II	singly ionized Si
Si II	singly ionized silicon
Si II	silicon II
Si II	[Si II]
Si II	Si+
Si II	Si1+
Si III	doubly ionized Si
Si III	doubly ionized silicon
Si III	silicon III
Si III	[Si III]
Si III	Si2+
Si III	Si2plus
Si IV	triply ionized Si
Si IV	triply ionized silicon
Si IV	silicon IV
Si IV	[Si IV]
Si IV	Si3+
Si IV	Si3plus
Si V	quadruply ionized Si
Si V	quadruply ionized silicon
Si V	silicon V
Si V	[Si V]
Si V	Si4+
Si V	Si4plus
Si VI	quintuply ionized Si
Si VI	quintuply ionized silicon
Si VI	silicon VI
Si VI	[Si VI]
Si VI	Si5+
Si VI	Si5plus
Si VII	sextuply ionized Si
Si VII	sextuply ionized silicon
Si VII	silicon VII
Si VII	[Si VII]
Si VII	Si6+
Si VII	Si6plus
Si VIII	septuply ionized Si
Si VIII	septuply ionized silicon
Si VIII	silicon VIII
Si VIII	[Si VIII]
Si VIII	Si7+
Si VIII	Si7plus
Si IX	octuply ionized Si
Si IX	octuply ionized silicon
Si IX	silicon IX
Si IX	[Si IX]
Si IX	Si8+
Si IX	Si8plus
Si X	nonuply ionized Si
Si X	nonuply ionized silicon
Si X	silicon X
Si X	[Si X]
Si X	Si9+
Si X	Si9plus
S I	neutral S
S I	neutral sulfur
S I	sulfur I
S I	[S I]
S II	singly ionized S
S II	singly ionized sulfur
S II	sulfur II
S II	[S II]
S II	S+
S II	S1+
S III	doubly ionized S
S III	doubly ionized sulfur
S III	sulfur III
S III	[S III]
S III	S2+
S III	S2plus
S IV	triply ionized S
S IV	triply ionized sulfur
S IV	sulfur IV
S IV	[S IV]
S IV	S3+
S IV	S3plus
S V	quadruply ionized S
S V	quadruply ionized sulfur
S V	sulfur V
S V	[S V]
S V	S4+
S V	S4plus
S VI	quintuply ionized S
S VI	quintuply ionized sulfur
S VI	sulfur VI
S VI	[S VI]
S VI	S5+
S VI	S5plus
S VII	sextuply ionized S
S VII	sextuply ionized sulfur
S VII	sulfur VII
S VII	[S VII]
S VII	S6+
S VII	S6plus
S VIII	septuply ionized S
S VIII	septuply ionized sulfur
S VIII	sulfur VIII
S VIII	[S VIII]
S VIII	S7+
S VIII	S7plus
S IX	octuply ionized S
S IX	octuply ionized sulfur
S IX	sulfur IX
S IX	[S IX]
S IX	S8+
S IX	S8plus
S X	nonuply ionized S
S X	nonuply ionized sulfur
S X	sulfur X
S X	[S X]
S X	S9+
S X	S9plus
Ar I	neutral Ar
Ar I	neutral argon
Ar I	argon I
Ar I	[Ar I]
Ar II	singly ionized Ar
Ar II	singly ionized argon
Ar II	argon II
Ar II	[Ar II]
Ar II	Ar+
Ar II	Ar1+
Ar III	doubly ionized Ar
Ar III	doubly ionized argon
Ar III	argon III
Ar III	[Ar III]
Ar III	Ar2+
Ar III	Ar2plus
Ar IV	triply ionized Ar
Ar IV	triply ionized argon
Ar IV	argon IV
Ar IV	[Ar IV]
Ar IV	Ar3+
Ar IV	Ar3plus
Ar V	quadruply ionized Ar
Ar V	quadruply ionized argon
Ar V	argon V
Ar V	[Ar V]
Ar V	Ar4+
Ar V	Ar4plus
Ar VI	quintuply ionized Ar
Ar VI	quintuply ionized argon
Ar VI	argon VI
Ar VI	[Ar VI]
Ar VI	Ar5+
Ar VI	Ar5plus
Ar VII	sextuply ionized Ar
Ar VII	sextuply ionized argon
Ar VII	argon VII
Ar VII	[Ar VII]
Ar VII	Ar6+
Ar VII	Ar6plus
Ar VIII	septuply ionized Ar
Ar VIII	septuply ionized argon
Ar VIII	argon VIII
Ar VIII	[Ar VIII]
Ar VIII	Ar7+
Ar VIII	Ar7plus
Ar IX	octuply ionized Ar
Ar IX	octuply ionized argon
Ar IX	argon IX
Ar IX	[Ar IX]
Ar IX	Ar8+
Ar IX	Ar8plus
Ar X	nonuply ionized Ar
Ar X	nonuply ionized argon
Ar X	argon X
Ar X	[Ar X]
Ar X	Ar9+
Ar X	Ar9plus
Ca I	neutral Ca
Ca I	neutral calcium
Ca I	calcium I
Ca I	[Ca I]
Ca II	singly ionized Ca
Ca II	singly ionized calcium
Ca II	calcium II
Ca II	[Ca II]
Ca II	Ca+
Ca II	Ca1+
Ca III	doubly ionized Ca
Ca III	doubly ionized calcium
Ca III	calcium III
Ca III	[Ca III]
Ca III	Ca2+
Ca III	Ca2plus
Ca IV	triply ionized Ca
Ca IV	triply ionized calcium
Ca IV	calcium IV
Ca IV	[Ca IV]
Ca IV	Ca3+
Ca IV	Ca3plus
Ca V	quadruply ionized Ca
Ca V	quadruply ionized calcium
Ca V	calcium V
Ca V	[Ca V]
Ca V	Ca4+
Ca V	Ca4plus
Ca VI	quintuply ionized Ca
Ca VI	quintuply ionized calcium
Ca VI	calcium VI
Ca VI	[Ca VI]
Ca VI	Ca5+
Ca VI	Ca5plus
Ca VII	sextuply ionized Ca
Ca VII	sextuply ionized calcium
Ca VII	calcium VII
Ca VII	[Ca VII]
Ca VII	Ca6+
Ca VII	Ca6plus
Ca VIII	septuply ionized Ca
Ca VIII	septuply ionized calcium
Ca VIII	calcium VIII
Ca VIII	[Ca VIII]
Ca VIII	Ca7+
Ca VIII	Ca7plus
Ca IX	octuply ionized Ca
Ca IX	octuply ionized calcium
Ca IX	calcium IX
Ca IX	[Ca IX]
Ca IX	Ca8+
Ca IX	Ca8plus
Ca X	nonuply ionized Ca
Ca X	nonuply ionized calcium
Ca X	calcium X
Ca X	[Ca X]
Ca X	Ca9+
Ca X	Ca9plus
Fe I	neutral Fe
Fe I	neutral iron
Fe I	iron I
Fe I	[Fe I]
Fe II	singly ionized Fe
Fe II	singly ionized iron
Fe II	iron II
Fe II	[Fe II]
Fe II	Fe+
Fe II	Fe1+
Fe III	doubly ionized Fe
Fe III	doubly ionized iron
Fe III	iron III
Fe III	[Fe III]
Fe III	Fe2+
Fe III	Fe2plus
Fe IV	triply ionized Fe
Fe IV	triply ionized iron
Fe IV	iron IV
Fe IV	[Fe IV]
Fe IV	Fe3+
Fe IV	Fe3plus
Fe V	quadruply ionized Fe
Fe V	quadruply ionized iron
Fe V	iron V
Fe V	[Fe V]
Fe V	Fe4+
Fe V	Fe4plus
Fe VI	quintuply ionized Fe
Fe VI	quintuply ionized iron
Fe VI	iron VI
Fe VI	[Fe VI]
Fe VI	Fe5+
Fe VI	Fe5plus
Fe VII	sextuply ionized Fe
Fe VII	sextuply ionized iron
Fe VII	iron VII
Fe VII	[Fe VII]
Fe VII	Fe6+
Fe VII	Fe6plus
Fe VIII	septuply ionized Fe
Fe VIII	septuply ionized iron
Fe VIII	iron VIII
Fe VIII	[Fe VIII]
Fe VIII	Fe7+
Fe VIII	Fe7plus
Fe IX	octuply ionized Fe
Fe IX	octuply ionized iron
Fe IX	iron IX
Fe IX	[Fe IX]
Fe IX	Fe8+
Fe IX	Fe8plus
Fe X	nonuply ionized Fe
Fe X	nonuply ionized iron
Fe X	iron X
Fe X	[Fe X]
Fe X	Fe9+
Fe X	Fe9plus
Ni I	neutral Ni
Ni I	neutral nickel
Ni I	nickel I
Ni I	[Ni I]
Ni II	singly ionized Ni
Ni II	singly ionized nickel
Ni II	nickel II
Ni II	[Ni II]
Ni II	Ni+
Ni II	Ni1+
Ni III	doubly ionized Ni
Ni III	doubly ionized nickel
Ni III	nickel III
Ni III	[Ni III]
Ni III	Ni2+
Ni III	Ni2plus
Ni IV	triply ionized Ni
Ni IV	triply ionized nickel
Ni IV	nickel IV
Ni IV	[Ni IV]
Ni IV	Ni3+
Ni IV	Ni3plus
Ni V	quadruply ionized Ni
Ni V	quadruply ionized nickel
Ni V	nickel V
Ni V	[Ni V]
Ni V	Ni4+
Ni V	Ni4plus
Ni VI	quintuply ionized Ni
Ni VI	quintuply ionized nickel
Ni VI	nickel VI
Ni VI	[Ni VI]
Ni VI	Ni5+
Ni VI	Ni5plus
Ni VII	sextuply ionized Ni
Ni VII	sextuply ionized nickel
Ni VII	nickel VII
Ni VII	[Ni VII]
Ni VII	Ni6+
Ni VII	Ni6plus
Ni VIII	septuply ionized Ni
Ni VIII	septuply ionized nickel
Ni VIII	nickel VIII
Ni VIII	[Ni VIII]
Ni VIII	Ni7+
Ni VIII	Ni7plus
Ni IX	octuply ionized Ni
Ni IX	octuply ionized nickel
Ni IX	nickel IX
Ni IX	[Ni IX]
Ni IX	Ni8+
Ni IX	Ni8plus
Ni X	nonuply ionized Ni
Ni X	nonuply ionized nickel
Ni X	nickel X
Ni X	[Ni X]
Ni X	Ni9+
Ni X	Ni9plus
Zn I	neutral Zn
Zn I	neutral zinc
Zn I	zinc I
Zn I	[Zn I]
Zn II	singly ionized Zn
Zn II	singly ionized zinc
Zn II	zinc II
Zn II	[Zn II]
Zn II	Zn+
Zn II	Zn1+
Zn III	doubly ionized Zn
Zn III	doubly ionized zinc
Zn III	zinc III
Zn III	[Zn III]
Zn III	Zn2+
Zn III	Zn2plus
Zn IV	triply ionized Zn
Zn IV	triply ionized zinc
Zn IV	zinc IV
Zn IV	[Zn IV]
Zn IV	Zn3+
Zn IV	Zn3plus
Zn V	quadruply ionized Zn
Zn V	quadruply ionized zinc
Zn V	zinc V
Zn V	[Zn V]
Zn V	Zn4+
Zn V	Zn4plus
Zn VI	quintuply ionized Zn
Zn VI	quintuply ionized zinc
Zn VI	zinc VI
Zn VI	[Zn VI]
Zn VI	Zn5+
Zn VI	Zn5plus
Zn VII	sextuply ionized Zn
Zn VII	sextuply ionized zinc
Zn VII	zinc VII
Zn VII	[Zn VII]
Zn VII	Zn6+
Zn VII	Zn6plus
Zn VIII	septuply ionized Zn
Zn VIII	septuply ionized zinc
Zn VIII	zinc VIII
Zn VIII	[Zn VIII]
Zn VIII	Zn7+
Zn VIII	Zn7plus
Zn IX	octuply ionized Zn
Zn IX	octuply ionized zinc
Zn IX	zinc IX
Zn IX	[Zn IX]
Zn IX	Zn8+
Zn IX	Zn8plus
Zn X	nonuply ionized Zn
Zn X	nonuply ionized zinc
Zn X	zinc X
Zn X	[Zn X]
Zn X	Zn9+
Zn X	Zn9plus
Ba I	neutral Ba
Ba I	neutral barium
Ba I	barium I
Ba I	[Ba I]
Ba II	singly ionized Ba
Ba II	singly ionized barium
Ba II	barium II
Ba II	[Ba II]
Ba II	Ba+
Ba II	Ba1+
Ba III	doubly ionized Ba
Ba III	doubly ionized barium
Ba III	barium III
Ba III	[Ba III]
Ba III	Ba2+
Ba III	Ba2plus
Ba IV	triply ionized Ba
Ba IV	triply ionized barium
Ba IV	barium IV
Ba IV	[Ba IV]
Ba IV	Ba3+
Ba IV	Ba3plus
Ba V	quadruply ionized Ba
Ba V	quadruply ionized barium
Ba V	barium V
Ba V	[Ba V]
Ba V	Ba4+
Ba V	Ba4plus
Ba VI	quintuply ionized Ba
Ba VI	quintuply ionized barium
Ba VI	barium VI
Ba VI	[Ba VI]
Ba VI	Ba5+
Ba VI	Ba5plus
Ba VII	sextuply ionized Ba
Ba VII	sextuply ionized barium
Ba VII	barium VII
Ba VII	[Ba VII]
Ba VII	Ba6+
Ba VII	Ba6plus
Ba VIII	septuply ionized Ba
Ba VIII	septuply ionized barium
Ba VIII	barium VIII
Ba VIII	[Ba VIII]
Ba VIII	Ba7+
Ba VIII	Ba7plus
Ba IX	octuply ionized Ba
Ba IX	octuply ionized barium
Ba IX	barium IX
Ba IX	[Ba IX]
Ba IX	Ba8+
Ba IX	Ba8plus
Ba X	nonuply ionized Ba
Ba X	nonuply ionized barium
Ba X	barium X
Ba X	[Ba X]
Ba X	Ba9+
Ba X	Ba9plus
